"Accession","gene","protein_desc","protein_id","location","rep","strain","time","area","total_area","n_area","tabasco_id","class","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","sim_count","sim_count2"
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-44",60,NA,4.10907e+11,NA,"gp13",3,9605.73,1715.69,0,0,0,0,0
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-44",60,NA,4.10907e+11,NA,"gp14",3,9605.73,1715.69,0,0,0,0,0
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-44",60,NA,4.10907e+11,NA,"gp15",3,9605.73,1715.69,0,0,0,0,0
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-44",60,NA,4.10907e+11,NA,"gp16",3,9605.73,1715.69,0,0,0,0,0
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-44",60,NA,4.10907e+11,NA,"gp17",3,9605.73,1715.69,0,0,0,0,0
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-44",60,NA,4.10907e+11,NA,"gp17.5",3,9605.73,1715.69,0,0,0,0,0
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-44",60,NA,4.10907e+11,NA,"gp18",3,9605.73,1715.69,0,0,0,0,0
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-44",60,NA,4.10907e+11,NA,"gp19",3,9605.73,1715.69,0,0,0,0,0
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-44",300,4.20518e+07,4.13712e+11,0.000101645,"gp0.7",1,2.6,0,346.05,0,1258.27,5399.92,1566
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-44",300,2.45031e+08,4.13712e+11,0.000592274,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-44",300,4.28327e+08,4.13712e+11,0.00103533,"gp1.3",2,2.6,0,346.05,0,1258.27,2968.21,779.6
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-44",300,2.09259e+08,4.13712e+11,0.000505808,"gp1.6",2,2.6,0,346.05,0,1258.27,1005.03,248.38
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-44",300,2.15623e+08,4.13712e+11,0.00052119,"gp1.7",2,2.6,0,346.05,0,1258.27,1358.69,334.26
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-44",300,7.95824e+07,4.13712e+11,0.000192362,"gp1.8",2,2.6,0,346.05,0,1258.27,1371.97,334.07
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-44",300,2.10738e+09,4.13712e+11,0.00509383,"gp2.5",2,2.6,0,346.05,0,1258.27,1423.25,349.29
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-44",300,NA,4.13712e+11,NA,"gp2.8",2,2.6,0,346.05,0,1258.27,1378.66,337.1
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-44",300,NA,4.13712e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-44",300,1.40523e+08,4.13712e+11,0.000339663,"gp3.5",2,2.6,0,346.05,0,1258.27,14.69,8.79
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-44",300,6.81613e+07,4.13712e+11,0.000164755,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-44",300,NA,4.13712e+11,NA,"gp4.3",2,2.6,0,346.05,0,1258.27,1129.44,278.33
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-44",300,6.4643e+08,4.13712e+11,0.00156251,"gp4.5",2,2.6,0,346.05,0,1258.27,1276.09,314.06
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-44",300,5.6585e+08,4.13712e+11,0.00136774,"gp4.7",2,2.6,0,346.05,0,1258.27,1129.97,283.74
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-44",300,2.74327e+08,4.13712e+11,0.000663087,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-44",300,1.09704e+08,4.13712e+11,0.000265169,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-44",300,4.5214e+07,4.13712e+11,0.000109288,"gp5.9",2,2.6,0,346.05,0,1258.27,865.69,214.81
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-44",300,7.43436e+07,4.13712e+11,0.000179699,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-44",300,4.54558e+07,4.13712e+11,0.000109873,"gp6.5",3,2.6,0,346.05,0,1258.27,827.94,222.37
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-44",300,NA,4.13712e+11,NA,"gp7",3,2.6,0,346.05,0,1258.27,706.76,191.4
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-44",300,NA,4.13712e+11,NA,"gp7.3",3,2.6,0,346.05,0,1258.27,690.5,184.44
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-44",300,7.70585e+07,4.13712e+11,0.000186261,"gp7.7",3,2.6,0,346.05,0,1258.27,627.14,169.49
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-44",300,2.06875e+08,4.13712e+11,0.000500046,"gp8",3,2.6,0,346.05,0,1258.27,235.98,64.6
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-44",300,2.85164e+08,4.13712e+11,0.00068928,"gp9",3,2.6,0,346.05,0,1258.27,312.82,90.82
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-44",300,1.31445e+09,4.13712e+11,0.00317721,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-44",300,1.31445e+09,4.13712e+11,0.00317721,"gp10A",3,2.6,0,346.05,0,1258.27,226.94,70.97
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-44",300,NA,4.13712e+11,NA,"gp11",3,2.6,0,346.05,0,1258.27,50.71,15.25
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-44",300,NA,4.13712e+11,NA,"gp12",3,2.6,0,346.05,0,1258.27,0.49,0.1
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-44",300,NA,4.13712e+11,NA,"gp13",3,2.6,0,346.05,0,1258.27,53.62,16.05
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-44",300,NA,4.13712e+11,NA,"gp14",3,2.6,0,346.05,0,1258.27,38.05,11.5
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-44",300,NA,4.13712e+11,NA,"gp15",3,2.6,0,346.05,0,1258.27,0,0
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-44",300,7.64661e+07,4.13712e+11,0.000184829,"gp16",3,2.6,0,346.05,0,1258.27,0,0
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-44",300,NA,4.13712e+11,NA,"gp17",3,2.6,0,346.05,0,1258.27,0,0
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-44",300,NA,4.13712e+11,NA,"gp17.5",3,2.6,0,346.05,0,1258.27,0.19,0.03
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-44",300,1.46737e+07,4.13712e+11,3.54685e-05,"gp18",3,2.6,0,346.05,0,1258.27,0.06,0.02
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-44",300,1.49223e+06,4.13712e+11,3.60693e-06,"gp19",3,2.6,0,346.05,0,1258.27,0,0
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-44",540,4.62495e+07,4.52374e+11,0.000102237,"gp0.7",1,0.56,0,14.66,0,1660.33,8261.18,2202.54
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-44",540,2.78096e+08,4.52374e+11,0.000614748,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-44",540,1.64906e+09,4.52374e+11,0.00364535,"gp1.3",2,0.56,0,14.66,0,1660.33,6310.94,1537.98
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-44",540,4.45086e+08,4.52374e+11,0.000983889,"gp1.6",2,0.56,0,14.66,0,1660.33,2579.25,628.23
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-44",540,1.00483e+09,4.52374e+11,0.00222123,"gp1.7",2,0.56,0,14.66,0,1660.33,3458.82,852.97
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-44",540,8.90528e+07,4.52374e+11,0.000196857,"gp1.8",2,0.56,0,14.66,0,1660.33,3396.92,832.56
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-44",540,5.51592e+09,4.52374e+11,0.0121933,"gp2.5",2,0.56,0,14.66,0,1660.33,3875.83,961.65
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-44",540,NA,4.52374e+11,NA,"gp2.8",2,0.56,0,14.66,0,1660.33,3774.68,937.38
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-44",540,8.47996e+07,4.52374e+11,0.000187455,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-44",540,1.5451e+09,4.52374e+11,0.00341554,"gp3.5",2,0.56,0,14.66,0,1660.33,33.16,21.18
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-44",540,1.01791e+08,4.52374e+11,0.000225015,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-44",540,NA,4.52374e+11,NA,"gp4.3",2,0.56,0,14.66,0,1660.33,4147.87,1019.55
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-44",540,7.40791e+08,4.52374e+11,0.00163756,"gp4.5",2,0.56,0,14.66,0,1660.33,4633.99,1145.38
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-44",540,1.11649e+09,4.52374e+11,0.00246807,"gp4.7",2,0.56,0,14.66,0,1660.33,4447.2,1113.83
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-44",540,4.73e+08,4.52374e+11,0.0010456,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-44",540,4.30039e+08,4.52374e+11,0.000950627,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-44",540,1.28827e+08,4.52374e+11,0.000284779,"gp5.9",2,0.56,0,14.66,0,1660.33,4373.11,1080.15
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-44",540,3.4384e+08,4.52374e+11,0.000760079,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-44",540,5.72113e+08,4.52374e+11,0.00126469,"gp6.5",3,0.56,0,14.66,0,1660.33,4913.94,1264.55
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-44",540,1.9922e+08,4.52374e+11,0.000440388,"gp7",3,0.56,0,14.66,0,1660.33,4724.69,1221.02
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-44",540,2.38614e+08,4.52374e+11,0.000527472,"gp7.3",3,0.56,0,14.66,0,1660.33,4661.15,1198.56
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-44",540,2.7692e+08,4.52374e+11,0.000612149,"gp7.7",3,0.56,0,14.66,0,1660.33,4562.71,1179.87
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-44",540,1.33191e+09,4.52374e+11,0.00294428,"gp8",3,0.56,0,14.66,0,1660.33,4023,1041.75
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-44",540,3.34796e+09,4.52374e+11,0.00740086,"gp9",3,0.56,0,14.66,0,1660.33,4437.61,1160.68
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-44",540,9.06258e+09,4.52374e+11,0.0200334,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-44",540,9.06258e+09,4.52374e+11,0.0200334,"gp10A",3,0.56,0,14.66,0,1660.33,4654.82,1250.77
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-44",540,1.29663e+08,4.52374e+11,0.000286627,"gp11",3,0.56,0,14.66,0,1660.33,905.32,245.27
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-44",540,1.03266e+08,4.52374e+11,0.000228275,"gp12",3,0.56,0,14.66,0,1660.33,726.93,195.4
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-44",540,1.1593e+08,4.52374e+11,0.00025627,"gp13",3,0.56,0,14.66,0,1660.33,1424.87,392.97
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-44",540,4.65258e+07,4.52374e+11,0.000102848,"gp14",3,0.56,0,14.66,0,1660.33,1367.69,376.53
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-44",540,2.26672e+08,4.52374e+11,0.000501071,"gp15",3,0.56,0,14.66,0,1660.33,1099.61,305.36
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-44",540,3.67243e+08,4.52374e+11,0.000811812,"gp16",3,0.56,0,14.66,0,1660.33,742.61,206.9
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-44",540,5.06832e+08,4.52374e+11,0.00112038,"gp17",3,0.56,0,14.66,0,1660.33,1161.14,318.87
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-44",540,NA,4.52374e+11,NA,"gp17.5",3,0.56,0,14.66,0,1660.33,1305.62,356.68
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-44",540,6.64902e+08,4.52374e+11,0.00146981,"gp18",3,0.56,0,14.66,0,1660.33,1282.42,350.04
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-44",540,3.72497e+07,4.52374e+11,8.23428e-05,"gp19",3,0.56,0,14.66,0,1660.33,985.48,266.17
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-46",60,NA,3.92179e+11,NA,"gp0.7",1,9605.73,1715.69,0,0,0,0,0
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-46",60,NA,3.92179e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-46",60,1.31372e+07,3.92179e+11,3.3498e-05,"gp1.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-46",60,NA,3.92179e+11,NA,"gp1.6",2,9605.73,1715.69,0,0,0,0,0
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-46",60,NA,3.92179e+11,NA,"gp1.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-46",60,NA,3.92179e+11,NA,"gp1.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-46",60,NA,3.92179e+11,NA,"gp2.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-46",60,NA,3.92179e+11,NA,"gp2.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-46",60,NA,3.92179e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-46",60,NA,3.92179e+11,NA,"gp3.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-46",60,NA,3.92179e+11,NA,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-46",60,NA,3.92179e+11,NA,"gp4.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-46",60,NA,3.92179e+11,NA,"gp4.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-46",60,NA,3.92179e+11,NA,"gp4.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-46",60,NA,3.92179e+11,NA,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-46",60,3.42671e+06,3.92179e+11,8.73762e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-46",60,NA,3.92179e+11,NA,"gp5.9",2,9605.73,1715.69,0,0,0,0,0
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-46",60,NA,3.92179e+11,NA,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-46",60,NA,3.92179e+11,NA,"gp6.5",3,9605.73,1715.69,0,0,0,0,0
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-46",60,NA,3.92179e+11,NA,"gp7",3,9605.73,1715.69,0,0,0,0,0
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-46",60,NA,3.92179e+11,NA,"gp7.3",3,9605.73,1715.69,0,0,0,0,0
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-46",60,NA,3.92179e+11,NA,"gp7.7",3,9605.73,1715.69,0,0,0,0,0
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-46",60,NA,3.92179e+11,NA,"gp8",3,9605.73,1715.69,0,0,0,0,0
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-46",60,NA,3.92179e+11,NA,"gp9",3,9605.73,1715.69,0,0,0,0,0
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-46",60,3.79304e+08,3.92179e+11,0.000967171,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-46",60,3.79304e+08,3.92179e+11,0.000967171,"gp10A",3,9605.73,1715.69,0,0,0,0,0
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-46",60,NA,3.92179e+11,NA,"gp11",3,9605.73,1715.69,0,0,0,0,0
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-46",60,NA,3.92179e+11,NA,"gp12",3,9605.73,1715.69,0,0,0,0,0
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-46",60,NA,3.92179e+11,NA,"gp13",3,9605.73,1715.69,0,0,0,0,0
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-46",60,NA,3.92179e+11,NA,"gp14",3,9605.73,1715.69,0,0,0,0,0
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-46",60,7.24706e+06,3.92179e+11,1.8479e-05,"gp15",3,9605.73,1715.69,0,0,0,0,0
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-46",60,NA,3.92179e+11,NA,"gp16",3,9605.73,1715.69,0,0,0,0,0
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-46",60,NA,3.92179e+11,NA,"gp17",3,9605.73,1715.69,0,0,0,0,0
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-46",60,NA,3.92179e+11,NA,"gp17.5",3,9605.73,1715.69,0,0,0,0,0
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-46",60,NA,3.92179e+11,NA,"gp18",3,9605.73,1715.69,0,0,0,0,0
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-46",60,NA,3.92179e+11,NA,"gp19",3,9605.73,1715.69,0,0,0,0,0
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-46",300,1.24888e+08,4.37175e+11,0.00028567,"gp0.7",1,2.6,0,346.05,0,1258.27,5399.92,1566
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-46",300,4.86533e+08,4.37175e+11,0.0011129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-46",300,5.83082e+08,4.37175e+11,0.00133375,"gp1.3",2,2.6,0,346.05,0,1258.27,2968.21,779.6
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-46",300,2.3222e+08,4.37175e+11,0.000531183,"gp1.6",2,2.6,0,346.05,0,1258.27,1005.03,248.38
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-46",300,3.13338e+08,4.37175e+11,0.000716733,"gp1.7",2,2.6,0,346.05,0,1258.27,1358.69,334.26
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-46",300,9.96816e+07,4.37175e+11,0.000228013,"gp1.8",2,2.6,0,346.05,0,1258.27,1371.97,334.07
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-46",300,3.24269e+09,4.37175e+11,0.00741736,"gp2.5",2,2.6,0,346.05,0,1258.27,1423.25,349.29
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-46",300,NA,4.37175e+11,NA,"gp2.8",2,2.6,0,346.05,0,1258.27,1378.66,337.1
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-46",300,NA,4.37175e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-46",300,5.64048e+08,4.37175e+11,0.00129021,"gp3.5",2,2.6,0,346.05,0,1258.27,14.69,8.79
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-46",300,5.67251e+07,4.37175e+11,0.000129754,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-46",300,NA,4.37175e+11,NA,"gp4.3",2,2.6,0,346.05,0,1258.27,1129.44,278.33
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-46",300,5.33868e+08,4.37175e+11,0.00122118,"gp4.5",2,2.6,0,346.05,0,1258.27,1276.09,314.06
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-46",300,7.17841e+08,4.37175e+11,0.001642,"gp4.7",2,2.6,0,346.05,0,1258.27,1129.97,283.74
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-46",300,3.36798e+08,4.37175e+11,0.000770396,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-46",300,1.14864e+08,4.37175e+11,0.000262742,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-46",300,3.42958e+07,4.37175e+11,7.84486e-05,"gp5.9",2,2.6,0,346.05,0,1258.27,865.69,214.81
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-46",300,9.98673e+07,4.37175e+11,0.000228438,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-46",300,7.96087e+07,4.37175e+11,0.000182098,"gp6.5",3,2.6,0,346.05,0,1258.27,827.94,222.37
